"Journal";"ISSN";"Cites";"IFactor";"5IFactor";"Index";"Articles";"HalfLife";"Eigenfactor";"Influence";"Categoria"
"WATER QUAL EXPOS HEA";"1876-1658";87;0.912;0.955;0.08;25;"";0.00021;0.15;"WATER RESOURCES"
"WATER QUAL RES J CAN";"1201-3080";566;0.909;0.687;0.094;32;"9.7";0.00058;0.199;"WATER RESOURCES"
"WATER RES";"0043-1354";53631;5.528;6.279;0.966;667;"8.2";0.07745;1.592;"WATER RESOURCES"
"WATER RESOUR MANAG";"0920-4741";5225;2.6;2.831;0.453;331;"4.5";0.01079;0.581;"WATER RESOURCES"
"WATER RESOUR RES";"0043-1397";38033;3.549;4.144;0.658;559;">10.0";0.05356;1.359;"WATER RESOURCES"
"WATER RESOUR+";"0097-8078";441;0.361;0.415;0.031;98;"8.4";0.00058;0.095;"WATER RESOURCES"
"WATER SA";"0378-4738";1530;0.64;0.962;0.157;83;"10.0";0.00175;0.258;"WATER RESOURCES"
"WATER SCI TECH-W SUP";"1606-9749";702;0.394;NA;0.015;135;"7.9";0.00111;NA;"WATER RESOURCES"
"WATER SCI TECHNOL";"0273-1223";16194;1.106;1.208;0.167;603;">10.0";0.0169;0.305;"WATER RESOURCES"
"WATER-SUI";"2073-4441";559;1.428;1.751;0.337;199;"2.8";0.00212;0.474;"WATER RESOURCES"
"WETL ECOL MANAG";"0923-4861";1275;1.274;1.886;0.208;48;"9.1";0.0018;0.536;"WATER RESOURCES"
"ACTA VIROL";"0001-723X";649;1.28;0.919;0.075;53;">10.0";0.00089;0.254;"VIROLOGY"
"ADV VIRUS RES";"0065-3527";1698;4.571;4.561;1;12;"9.1";0.00288;1.591;"VIROLOGY"
"AIDS";"0269-9370";22502;5.554;5.785;1.467;353;"6.9";0.05438;2.167;"VIROLOGY"
"AIDS RES HUM RETROV";"0889-2229";5198;2.325;2.162;0.561;164;"7.3";0.01123;0.718;"VIROLOGY"
"ANTIVIR RES";"0166-3542";6290;3.938;3.788;0.851;195;"5.0";0.01567;1.099;"VIROLOGY"
"ANTIVIR THER";"1359-6535";3690;3.02;2.856;1.352;88;"4.9";0.01145;1;"VIROLOGY"
"ARCH VIROL";"0304-8608";8773;2.39;2.205;0.542;426;"7.8";0.01398;0.602;"VIROLOGY"
"CELL HOST MICROBE";"1931-3128";9206;12.328;13.126;3.148;128;"3.9";0.05185;6.243;"VIROLOGY"
"CURR HIV RES";"1570-162X";1043;1.757;1.675;0.444;45;"4.6";0.00333;0.544;"VIROLOGY"
"CURR OPIN VIROL";"1879-6257";1829;6.064;6.399;1.086;105;"2.5";0.01064;2.501;"VIROLOGY"
"FOOD ENVIRON VIROL";"1867-0334";261;2.357;2.057;0.216;37;"2.9";0.0011;0.567;"VIROLOGY"
"FUTURE VIROL";"1746-0794";461;1.011;1.026;0.104;77;"3.3";0.00194;0.312;"VIROLOGY"
"INFLUENZA OTHER RESP";"1750-2640";1271;2.201;1.871;0.482;85;"2.7";0.00638;0.672;"VIROLOGY"
"INT J MED MICROBIOL";"1438-4221";3127;3.614;3.989;0.921;139;"6.2";0.00651;1.172;"VIROLOGY"
"INTERVIROLOGY";"0300-5526";1473;1.683;1.787;0.269;52;"8.9";0.00214;0.513;"VIROLOGY"
"J CLIN VIROL";"1386-6532";6415;3.016;3.138;0.406;229;"5.4";0.01817;0.989;"VIROLOGY"
"J GEN VIROL";"0022-1317";20082;3.183;3.23;1.049;265;">10.0";0.02593;1.004;"VIROLOGY"
"J MED VIROL";"0146-6615";8913;2.347;2.368;0.559;288;"7.4";0.01502;0.664;"VIROLOGY"
"J NEUROVIROL";"1355-0284";2324;2.595;3.061;0.746;67;"7.6";0.00388;0.832;"VIROLOGY"
"J VIRAL HEPATITIS";"1352-0504";4742;3.909;3.753;1.178;135;"5.1";0.01273;1.15;"VIROLOGY"
"J VIROL";"0022-538X";95267;4.439;4.609;1.313;1268;"8.7";0.15553;1.455;"VIROLOGY"
"J VIROL METHODS";"0166-0934";7194;1.781;1.774;0.346;344;"7.1";0.01245;0.488;"VIROLOGY"
"PLOS PATHOG";"1553-7366";30229;7.562;8.364;1.465;669;"3.8";0.14902;3.28;"VIROLOGY"
"RETROVIROLOGY";"1742-4690";3288;4.185;3.725;1.805;113;"4.1";0.01289;1.424;"VIROLOGY"
"REV MED VIROL";"1052-9276";1845;5.574;5.985;0.808;26;"7.0";0.00429;2.076;"VIROLOGY"
"S AFR J HIV MED";"1608-9693";106;0.898;0.664;0.212;33;"2.8";0.00053;0.271;"VIROLOGY"
"VIRAL IMMUNOL";"0882-8245";1229;1.446;1.587;0.206;68;"8.0";0.00183;0.425;"VIROLOGY"
"VIROL J";"1743-422X";5201;2.181;2.218;0.357;224;"3.9";0.01842;0.63;"VIROLOGY"
"VIROLOGIE";"1267-8694";46;0.233;0.134;0.182;22;"";8e-05;0.035;"VIROLOGY"
"VIROLOGY";"0042-6822";26040;3.321;3.177;0.679;448;">10.0";0.03456;1.039;"VIROLOGY"
"VIRUS GENES";"0920-8569";2101;1.576;1.531;0.263;137;"5.8";0.00442;0.409;"VIROLOGY"
"VIRUS RES";"0168-1702";7835;2.324;2.733;0.632;285;"6.3";0.01637;0.786;"VIROLOGY"
"VIRUSES-BASEL";"1999-4915";2523;3.353;3.419;0.516;258;"2.9";0.0136;1.225;"VIROLOGY"
"ACTA SCI VET";"1678-0345";222;0.222;0.306;0;73;"5.5";0.00054;0.086;"VETERINARY SCIENCES"
"ACTA VET BRNO";"0001-7213";645;0.469;0.621;0.047;64;"7.5";0.00081;0.129;"VETERINARY SCIENCES"
"ACTA VET HUNG";"0236-6290";602;0.646;0.826;0.375;48;"8.0";9e-04;0.229;"VETERINARY SCIENCES"
"ACTA VET SCAND";"0044-605X";1691;1.377;1.69;0.191;89;"8.2";0.00287;0.501;"VETERINARY SCIENCES"
"ACTA VET-BEOGRAD";"0567-8315";253;0.375;0.41;0.292;48;"5.6";0.00031;0.065;"VETERINARY SCIENCES"
"AM J VET RES";"0002-9645";9009;1.335;1.538;0.248;129;">10.0";0.0078;0.473;"VETERINARY SCIENCES"
"ANAT HISTOL EMBRYOL";"0340-2096";765;0.672;0.711;0.113;62;"8.9";0.00093;0.182;"VETERINARY SCIENCES"
"ANIM WELFARE";"0962-7286";1586;1.314;1.622;0.333;45;"7.9";0.00246;0.454;"VETERINARY SCIENCES"
"ANIMAL";"1751-7311";3146;1.841;2.04;0.506;253;"4.1";0.01107;0.609;"VETERINARY SCIENCES"
"ANKARA UNIV VET FAK";"1300-0861";137;0.219;0.241;0.038;52;"6.3";0.00027;0.066;"VETERINARY SCIENCES"
"ANTHROZOOS";"0892-7936";662;0.7;1.149;0.05;40;"9.1";7e-04;0.284;"VETERINARY SCIENCES"
"APPL ANIM BEHAV SCI";"0168-1591";6948;1.691;2.225;0.291;151;"9.8";0.00709;0.571;"VETERINARY SCIENCES"
"ARCH MED VET";"0301-732X";234;0.306;0.436;0.017;60;"8.1";0.00037;0.113;"VETERINARY SCIENCES"
"ARQ BRAS MED VET ZOO";"0102-0935";1047;0.24;0.336;0.015;260;"7.1";0.00192;0.1;"VETERINARY SCIENCES"
"AUST VET J";"0005-0423";3130;1.046;1.115;1.136;88;">10.0";0.00246;0.312;"VETERINARY SCIENCES"
"AVIAN DIS";"0005-2086";4391;1.241;1.415;0.147;102;">10.0";0.00459;0.398;"VETERINARY SCIENCES"
"AVIAN PATHOL";"0307-9457";2753;1.639;1.955;0.286;70;">10.0";0.00335;0.589;"VETERINARY SCIENCES"
"B VET I PULAWY";"0042-4870";475;0.357;0.357;0.07;100;"6.1";0.00082;0.081;"VETERINARY SCIENCES"
"BERL MUNCH TIERARZTL";"0005-9366";742;0.819;0.847;0.313;67;"7.8";0.00123;0.22;"VETERINARY SCIENCES"
"BMC VET RES";"1746-6148";1727;1.777;1.994;0.23;309;"2.8";0.00636;0.576;"VETERINARY SCIENCES"
"CAN J VET RES";"0830-9000";1353;1.022;1.125;0.109;46;">10.0";0.00127;0.333;"VETERINARY SCIENCES"
"CAN VET J";"0008-5286";2340;0.516;0.87;0.059;118;">10.0";0.00266;0.266;"VETERINARY SCIENCES"
"CATTLE PRACT";"0969-1251";101;0.19;0.175;0;88;"8.5";0.00013;0.042;"VETERINARY SCIENCES"
"COMP IMMUNOL MICROB";"0147-9571";1411;2.015;2.214;0.318;44;"6.8";0.00282;0.643;"VETERINARY SCIENCES"
"COMPARATIVE MED";"1532-0820";1103;0.742;1.188;0.085;59;"7.7";0.00169;0.35;"VETERINARY SCIENCES"
"DIS AQUAT ORGAN";"0177-5103";5419;1.752;1.993;0.377;130;">10.0";0.00634;0.594;"VETERINARY SCIENCES"
"EQUINE VET EDUC";"0957-7734";810;0.505;0.643;0.591;93;"7.2";0.00101;0.149;"VETERINARY SCIENCES"
"EQUINE VET J";"0425-1644";5900;2.374;2.198;0.875;120;">10.0";0.00652;0.506;"VETERINARY SCIENCES"
"EXP ANIM TOKYO";"1341-1357";750;0.965;1.102;0.333;51;"8.4";0.00144;0.371;"VETERINARY SCIENCES"
"FISH PATHOL";"0388-788X";734;1.064;0.718;0.037;27;">10.0";0.00041;0.197;"VETERINARY SCIENCES"
"FISH SHELLFISH IMMUN";"1050-4648";8732;2.674;2.996;0.367;376;"5.3";0.01364;0.548;"VETERINARY SCIENCES"
"ILAR J";"1084-2020";1180;2.393;2.158;0.391;46;"8.2";0.00188;0.649;"VETERINARY SCIENCES"
"IN PRACTICE";"0263-841X";335;0.248;0.291;0.284;81;"8.5";0.00051;0.088;"VETERINARY SCIENCES"
"INRA PROD ANIM";"0990-0632";158;0.726;0.938;0.958;24;"3.2";0.00024;0.16;"VETERINARY SCIENCES"
"IPPOLOGIA";"1120-5776";22;0;0.075;0;6;"";3e-05;0.02;"VETERINARY SCIENCES"
"IRAN J VET RES";"1728-1997";164;0.253;0.414;0;75;"5.3";0.00036;0.086;"VETERINARY SCIENCES"
"IRISH VET J";"0368-0762";290;1.178;0.562;0.154;26;"7.2";0.00052;0.167;"VETERINARY SCIENCES"
"ISR J VET MED";"0334-9152";115;0.35;0.325;0.026;38;"6.4";0.00023;0.088;"VETERINARY SCIENCES"
"ITAL J ANIM SCI";"1594-4077";886;0.718;0.641;0.177;124;"5.8";0.00198;0.176;"VETERINARY SCIENCES"
"J AM ANIM HOSP ASSOC";"0587-2871";2006;0.862;1.006;0.072;69;">10.0";0.00179;0.327;"VETERINARY SCIENCES"
"J AM ASSOC LAB ANIM";"1559-6109";733;1.118;1.2;0.132;76;"4.5";0.00189;0.291;"VETERINARY SCIENCES"
"J ANIM PHYSIOL AN N";"0931-2439";1612;1.406;1.417;0.171;140;"5.5";0.00364;0.389;"VETERINARY SCIENCES"
"J ANIM PLANT SCI";"1018-7081";467;0.448;0.556;0.026;271;"3.2";0.00131;0.111;"VETERINARY SCIENCES"
"J APPL ANIM WELF SCI";"1088-8705";450;0.739;1.136;0.115;26;"9.2";0.00064;0.339;"VETERINARY SCIENCES"
"J AQUAT ANIM HEALTH";"0899-7659";955;0.986;1.172;0.083;36;">10.0";0.00087;0.325;"VETERINARY SCIENCES"
"J AVIAN MED SURG";"1082-6742";323;0.393;0.737;0;36;"8.3";0.00056;0.227;"VETERINARY SCIENCES"
"J CAMEL PRACT RES";"0971-6777";118;0.09;0.124;0.048;21;"8.3";0.00011;0.025;"VETERINARY SCIENCES"
"J COMP PATHOL";"0021-9975";2676;1.142;1.333;0.152;112;">10.0";0.00302;0.367;"VETERINARY SCIENCES"
"J EQUINE VET SCI";"0737-0806";1089;0.871;0.935;0.121;190;"6.0";0.00214;0.241;"VETERINARY SCIENCES"
"J EXOT PET MED";"1557-5063";169;0.512;0.575;0.083;48;"5.2";0.00043;0.149;"VETERINARY SCIENCES"
"J FELINE MED SURG";"1098-612X";1785;1.156;1.517;0.228;127;"5.4";0.00455;0.412;"VETERINARY SCIENCES"
"J FISH DIS";"0140-7775";3750;2.056;2.112;0.378;119;"9.9";0.00509;0.59;"VETERINARY SCIENCES"
"J HELL VET MED SOC";"1792-2720";29;0.267;NA;0.043;23;"";0.00011;NA;"VETERINARY SCIENCES"
"J MED ENTOMOL";"0022-2585";7238;1.953;2.009;0.315;168;">10.0";0.00762;0.541;"VETERINARY SCIENCES"
"J MED PRIMATOL";"0047-2565";789;0.819;1.074;0.183;60;"8.6";0.00114;0.279;"VETERINARY SCIENCES"
"J S AFR VET ASSOC";"1019-9128";586;0.349;0.547;0.059;34;">10.0";0.00054;0.145;"VETERINARY SCIENCES"
"J SMALL ANIM PRACT";"0022-4510";2750;1.089;1.212;0.294;102;">10.0";0.00324;0.377;"VETERINARY SCIENCES"
"J SWINE HEALTH PROD";"1537-209X";301;1.205;1;0.25;24;"7.5";0.00051;0.282;"VETERINARY SCIENCES"
"J VET BEHAV";"1558-7878";496;0.957;1.569;1.107;56;"4.1";0.00137;0.409;"VETERINARY SCIENCES"
"J VET CARDIOL";"1760-2734";336;1.318;NA;0.061;33;"5.0";0.00092;NA;"VETERINARY SCIENCES"
"J VET DIAGN INVEST";"1040-6387";3530;1.353;1.377;0.126;127;"8.5";0.00585;0.419;"VETERINARY SCIENCES"
"J VET EMERG CRIT CAR";"1479-3261";811;1.052;1.44;0.311;74;"5.0";0.00218;0.395;"VETERINARY SCIENCES"
"J VET INTERN MED";"0891-6640";5890;1.879;2.287;0.287;223;"7.5";0.00942;0.626;"VETERINARY SCIENCES"
"J VET MED EDUC";"0748-321X";545;0.875;0.881;0.14;50;"6.6";0.00083;0.201;"VETERINARY SCIENCES"
"J VET MED SCI";"0916-7250";3441;0.782;0.841;0.09;278;"8.3";0.00529;0.227;"VETERINARY SCIENCES"
"J VET PHARMACOL THER";"0140-7783";2004;1.189;1.252;0.304;79;"8.9";0.00226;0.317;"VETERINARY SCIENCES"
"J VET SCI";"1229-845X";847;1.164;1.273;0.053;75;"6.2";0.00168;0.335;"VETERINARY SCIENCES"
"J WILDLIFE DIS";"0090-3558";4085;1.355;1.402;0.427;143;">10.0";0.00495;0.417;"VETERINARY SCIENCES"
"J ZOO WILDLIFE MED";"1042-7260";1447;0.424;0.577;0.024;164;">10.0";0.00187;0.163;"VETERINARY SCIENCES"
"JAVMA-J AM VET MED A";"0003-1488";11124;1.557;1.787;0.543;162;">10.0";0.00849;0.564;"VETERINARY SCIENCES"
"JPN J VET RES";"0047-1917";197;0.889;0.869;0;12;">10.0";0.00035;0.265;"VETERINARY SCIENCES"
"KAFKAS UNIV VET FAK";"1300-6045";359;0.258;0.312;0.026;151;"3.8";0.00095;0.057;"VETERINARY SCIENCES"
"KLEINTIERPRAXIS";"0023-2076";123;0.079;0.1;0;50;">10.0";0.00011;0.026;"VETERINARY SCIENCES"
"LAB ANIM-UK";"0023-6772";1506;1.12;1.373;0.45;40;">10.0";0.00179;0.434;"VETERINARY SCIENCES"
"LAB ANIMAL";"0093-7355";371;0.742;0.702;0.065;31;"7.9";0.00067;0.212;"VETERINARY SCIENCES"
"MAGY ALLATORVOSOK";"0025-004X";148;0.185;0.129;0.056;90;"7.0";0.00012;0.016;"VETERINARY SCIENCES"
"MED MYCOL";"1369-3786";3334;2.335;2.325;0.4;105;"5.7";0.00811;0.681;"VETERINARY SCIENCES"
"MED VET ENTOMOL";"0269-283X";2946;2.86;2.663;0.338;74;">10.0";0.00353;0.741;"VETERINARY SCIENCES"
"MED VET-RECIFE";"1809-4678";9;0.022;0.012;0;6;"";1e-05;0.003;"VETERINARY SCIENCES"
"MED WETER";"0025-8628";493;0.218;NA;0.034;146;"7.8";0.00048;NA;"VETERINARY SCIENCES"
"NEW ZEAL VET J";"0048-0169";1390;1.256;1.428;0.212;52;"9.2";0.00192;0.417;"VETERINARY SCIENCES"
"ONDERSTEPOORT J VET";"0030-2465";906;1.26;0.968;0.179;39;">10.0";0.00064;0.264;"VETERINARY SCIENCES"
"PESQUI VET BRASIL";"0100-736X";891;0.362;0.472;0.034;207;"5.4";0.00165;0.101;"VETERINARY SCIENCES"
"PFERDEHEILKUNDE";"0177-7726";284;0.19;0.255;0.105;57;">10.0";0.00025;0.047;"VETERINARY SCIENCES"
"POL J VET SCI";"1505-1773";500;0.604;0.635;0.036;112;"4.3";0.00125;0.147;"VETERINARY SCIENCES"
"PREV VET MED";"0167-5877";4921;2.167;2.287;0.465;226;"7.0";0.00878;0.618;"VETERINARY SCIENCES"
"REPROD DOMEST ANIM";"0936-6768";3303;1.515;1.512;0.222;203;"5.2";0.00755;0.382;"VETERINARY SCIENCES"
"RES VET SCI";"0034-5288";4858;1.409;1.517;0.235;204;"8.0";0.00831;0.417;"VETERINARY SCIENCES"
"REV BRAS PARASITOL V";"1984-2961";705;0.869;0.982;0.067;90;"5.4";0.00134;0.211;"VETERINARY SCIENCES"
"REV BRAS ZOOTECN";"1806-9290";2985;0.359;0.638;0.021;96;"7.9";0.00528;0.21;"VETERINARY SCIENCES"
"REV CIENT-FAC CIEN V";"0798-2259";153;0.19;0.164;0;40;"7.3";0.00016;0.03;"VETERINARY SCIENCES"
"REV MED VET-TOULOUSE";"0035-1555";631;0.323;0.351;0.08;50;">10.0";0.00068;0.093;"VETERINARY SCIENCES"
"REV SCI TECH OIE";"0253-1933";1954;0.91;1.188;0.141;85;">10.0";0.00217;0.366;"VETERINARY SCIENCES"
"SCAND J LAB ANIM SCI";"0901-3393";107;0.25;0.348;0;4;">10.0";0.00012;0.084;"VETERINARY SCIENCES"
"SCHWEIZ ARCH TIERH";"0036-7281";419;0.451;0.486;0.096;52;"9.2";0.00059;0.126;"VETERINARY SCIENCES"
"SLOV VET RES";"1580-4003";64;0.222;0.351;0.188;16;"";0.00015;0.103;"VETERINARY SCIENCES"
"SOC ANIM";"1063-1119";399;0.704;0.739;0.067;30;">10.0";5e-04;0.263;"VETERINARY SCIENCES"
"THAI J VET MED";"0125-6491";96;0.159;0.172;0.016;61;"";0.00027;0.042;"VETERINARY SCIENCES"
"THERIOGENOLOGY";"0093-691X";13332;1.798;2.154;0.406;320;"9.0";0.01455;0.519;"VETERINARY SCIENCES"
"TIERAERZTL PRAX";"0303-6286";480;0.528;0.377;0.076;92;"8.6";0.00077;0.099;"VETERINARY SCIENCES"
"TIERAERZTL UMSCHAU";"0049-3864";148;0.12;0.1;0;63;">10.0";0.00017;0.034;"VETERINARY SCIENCES"
"TOP COMPANION ANIM M";"1938-9736";221;1.411;1.448;0;16;"3.8";0.00093;0.435;"VETERINARY SCIENCES"
"TRANSBOUND EMERG DIS";"1865-1674";1111;2.944;2.638;0.578;90;"2.9";0.00413;0.735;"VETERINARY SCIENCES"
"TROP ANIM HEALTH PRO";"0049-4747";1936;0.817;0.895;0.224;223;"4.8";0.00488;0.235;"VETERINARY SCIENCES"
"TURK J VET ANIM SCI";"1300-0128";743;0.242;0.327;0.045;112;"9.5";0.00071;0.093;"VETERINARY SCIENCES"
"VET ANAESTH ANALG";"1467-2987";1312;1.72;1.73;0.316;76;"5.9";0.00275;0.462;"VETERINARY SCIENCES"
"VET ARHIV";"0372-5480";354;0.362;0.369;0.078;64;"7.8";0.00053;0.1;"VETERINARY SCIENCES"
"VET CLIN N AM-EQUINE";"0749-0739";913;0.436;1.141;0.108;37;">10.0";0.00104;0.328;"VETERINARY SCIENCES"
"VET CLIN N AM-FOOD A";"0749-0720";1405;2;2.217;0.343;35;">10.0";0.00215;0.684;"VETERINARY SCIENCES"
"VET CLIN N AM-SMALL";"0195-5616";2060;0.816;1.561;0.059;68;">10.0";0.00293;0.504;"VETERINARY SCIENCES"
"VET CLIN PATH";"0275-6382";1281;1.273;1.557;0.206;68;"6.4";0.0027;0.442;"VETERINARY SCIENCES"
"VET COMP ONCOL";"1476-5810";562;2.733;2.344;0.429;35;"4.7";0.00154;0.644;"VETERINARY SCIENCES"
"VET COMP ORTHOPAED";"0932-0814";1018;0.894;1.15;0.156;77;"6.2";0.00209;0.323;"VETERINARY SCIENCES"
"VET DERMATOL";"0959-4493";1493;1.732;1.82;0.467;60;"5.8";0.00289;0.444;"VETERINARY SCIENCES"
"VET IMMUNOL IMMUNOP";"0165-2427";5915;1.535;1.769;0.335;164;"8.1";0.00877;0.454;"VETERINARY SCIENCES"
"VET ITAL";"0505-401X";359;0.627;0.692;0.061;33;"7.2";0.00058;0.186;"VETERINARY SCIENCES"
"VET J";"1090-0233";5951;1.693;2.108;0.405;338;"5.3";0.01481;0.607;"VETERINARY SCIENCES"
"VET MED-CZECH";"0375-8427";873;0.639;0.818;0.036;84;"6.9";0.00149;0.234;"VETERINARY SCIENCES"
"VET MEXICO";"0301-5092";122;0.323;0.286;0.333;6;"9.2";0.00017;0.091;"VETERINARY SCIENCES"
"VET MICROBIOL";"0378-1135";13232;2.511;2.87;0.557;409;"6.1";0.02761;0.797;"VETERINARY SCIENCES"
"VET OPHTHALMOL";"1463-5216";1263;1.062;1.152;0.115;96;"7.2";0.00162;0.236;"VETERINARY SCIENCES"
"VET PARASITOL";"0304-4017";14372;2.46;2.635;0.661;434;"6.7";0.02084;0.553;"VETERINARY SCIENCES"
"VET PATHOL";"0300-9858";4488;1.869;1.979;0.949;99;">10.0";0.00629;0.602;"VETERINARY SCIENCES"
"VET QUART";"0165-2176";719;0.719;0.987;0.091;33;">10.0";0.00034;0.281;"VETERINARY SCIENCES"
"VET RADIOL ULTRASOUN";"1058-8183";2437;1.453;1.541;0.212;85;"9.2";0.00321;0.395;"VETERINARY SCIENCES"
"VET REC";"0042-4900";9390;1.493;1.466;0.763;198;">10.0";0.00913;0.421;"VETERINARY SCIENCES"
"VET RES";"0928-4249";3579;2.815;3.52;0.463;123;"6.4";0.00754;1.016;"VETERINARY SCIENCES"
"VET RES COMMUN";"0165-7380";1713;1.236;1.103;0.317;41;"8.8";0.00206;0.318;"VETERINARY SCIENCES"
"VET SURG";"0161-3499";3411;1.041;1.527;0.209;139;"8.7";0.00445;0.405;"VETERINARY SCIENCES"
"VLAAMS DIERGEN TIJDS";"0303-9021";143;0.417;0.343;0.077;39;"6.1";0.00029;0.091;"VETERINARY SCIENCES"
"WIEN TIERARZTL MONAT";"0043-535X";184;0.6;0.398;0.034;29;"9.0";0.00033;0.112;"VETERINARY SCIENCES"
"ZOO BIOL";"0733-3188";1302;0.831;1.092;0.194;67;">10.0";0.00142;0.292;"VETERINARY SCIENCES"
"ZOONOSES PUBLIC HLTH";"1863-1959";1169;2.369;2.189;0.443;70;"4.2";0.00434;0.672;"VETERINARY SCIENCES"
"ACTAS UROL ESP";"0210-4806";704;1.022;0.812;0.2;100;"4.5";0.00116;0.135;"UROLOGY & NEPHROLOGY"
"ADV CHRONIC KIDNEY D";"1548-5595";1017;2.052;2.399;0.357;56;"4.7";0.00353;0.805;"UROLOGY & NEPHROLOGY"
"AGING MALE";"1368-5538";560;2;1.928;0.214;42;"4.9";0.00136;0.511;"UROLOGY & NEPHROLOGY"
"AKTUEL UROL";"0001-7868";102;0.162;0.265;0.067;30;"6.0";0.00016;0.054;"UROLOGY & NEPHROLOGY"
"AM J KIDNEY DIS";"0272-6386";19397;5.9;5.555;1.949;197;"9.1";0.03309;1.864;"UROLOGY & NEPHROLOGY"
"AM J NEPHROL";"0250-8095";3566;2.669;2.592;0.315;127;"5.8";0.00916;0.835;"UROLOGY & NEPHROLOGY"
"AM J PHYSIOL-RENAL";"1931-857X";17248;3.248;3.521;0.779;289;"7.9";0.02774;1.053;"UROLOGY & NEPHROLOGY"
"ARCH ESP UROL";"0004-0614";463;0.309;NA;0.009;113;"6.5";0.00083;NA;"UROLOGY & NEPHROLOGY"
"ASIAN J ANDROL";"1008-682X";2260;2.596;2.327;1.064;125;"4.2";0.00559;0.632;"UROLOGY & NEPHROLOGY"
"BJU INT";"1464-4096";18393;3.533;3.105;1.229;288;"6.3";0.04237;0.976;"UROLOGY & NEPHROLOGY"
"BLOOD PURIFICAT";"0253-5068";1362;1.284;1.564;0.187;91;"5.6";0.00338;0.46;"UROLOGY & NEPHROLOGY"
"BMC NEPHROL";"1471-2369";1321;1.69;1.814;0.256;203;"2.5";0.00553;0.578;"UROLOGY & NEPHROLOGY"
"BMC UROL";"1471-2490";478;1.413;NA;0.235;102;"4.2";0.0015;NA;"UROLOGY & NEPHROLOGY"
"CAN J UROL";"1195-9479";702;0.982;0.802;0.39;100;"5.5";0.00187;0.273;"UROLOGY & NEPHROLOGY"
"CARDIORENAL MED";"1664-3828";184;1.762;1.956;0.194;31;"2.6";0.00082;0.577;"UROLOGY & NEPHROLOGY"
"CLIN EXP NEPHROL";"1342-1751";1441;2.02;1.718;0.397;116;"3.8";0.00447;0.475;"UROLOGY & NEPHROLOGY"
"CLIN GENITOURIN CANC";"1558-7673";604;2.322;2.157;0.26;96;"2.5";0.00199;0.613;"UROLOGY & NEPHROLOGY"
"CLIN J AM SOC NEPHRO";"1555-9041";10854;4.613;5.466;1.016;244;"4.5";0.04187;1.88;"UROLOGY & NEPHROLOGY"
"CLIN NEPHROL";"0301-0430";3078;1.129;1.15;0.156;122;">10.0";0.00441;0.341;"UROLOGY & NEPHROLOGY"
"CONTRIB NEPHROL";"0302-5144";1330;1.796;1.51;0;21;"4.8";0.00375;0.48;"UROLOGY & NEPHROLOGY"
"CUAJ-CAN UROL ASSOC";"1911-6470";696;0.837;1.179;0.194;201;"3.3";0.00265;0.343;"UROLOGY & NEPHROLOGY"
"CURR OPIN NEPHROL HY";"1062-4821";2971;3.862;3.682;0.489;90;"5.7";0.00783;1.197;"UROLOGY & NEPHROLOGY"
"CURR OPIN UROL";"0963-0643";1372;2.333;1.938;0.409;93;"5.1";0.00423;0.637;"UROLOGY & NEPHROLOGY"
"CURR UROL REP";"1527-2737";808;1.513;NA;0.25;84;"4.4";0.00257;NA;"UROLOGY & NEPHROLOGY"
"EUR UROL";"0302-2838";21495;13.938;11.26;4.978;228;"4.6";0.06156;3.573;"UROLOGY & NEPHROLOGY"
"EUR UROL SUPPL";"1569-9056";660;4.783;1.737;0.7;10;"6.5";0.00144;0.543;"UROLOGY & NEPHROLOGY"
"HEMODIAL INT";"1492-7535";909;1.24;1.359;0.271;107;"4.7";0.00264;0.421;"UROLOGY & NEPHROLOGY"
"INT BRAZ J UROL";"1677-5538";782;0.875;1.053;0.067;105;"5.4";0.00203;0.308;"UROLOGY & NEPHROLOGY"
"INT J IMPOT RES";"0955-9930";1928;1.756;1.72;0.298;47;"9.6";0.00206;0.558;"UROLOGY & NEPHROLOGY"
"INT J UROL";"0919-8172";3397;2.409;2.165;0.964;222;"5.9";0.00649;0.582;"UROLOGY & NEPHROLOGY"
"INT NEUROUROL J";"2093-4777";166;1.061;NA;0.375;32;"3.0";0.00053;NA;"UROLOGY & NEPHROLOGY"
"INT UROGYNECOL J";"0937-3462";4306;1.961;1.953;0.447;244;"5.0";0.01072;0.552;"UROLOGY & NEPHROLOGY"
"INT UROL NEPHROL";"0301-1623";2506;1.519;1.388;0.277;336;"5.1";0.00556;0.369;"UROLOGY & NEPHROLOGY"
"IRAN J KIDNEY DIS";"1735-8582";424;0.917;1.05;0.44;75;"3.5";0.00097;0.191;"UROLOGY & NEPHROLOGY"
"J AM SOC NEPHROL";"1046-6673";32059;9.343;9.621;2.108;260;"8.3";0.05931;3.377;"UROLOGY & NEPHROLOGY"
"J ENDOUROL";"0892-7790";4896;1.708;1.715;0.381;239;"5.7";0.01103;0.478;"UROLOGY & NEPHROLOGY"
"J NEPHROL";"1121-8428";2142;1.454;1.444;0.409;88;"5.8";0.00464;0.398;"UROLOGY & NEPHROLOGY"
"J PEDIATR UROL";"1477-5131";1157;0.898;1.16;0.253;217;"4.2";0.00349;0.325;"UROLOGY & NEPHROLOGY"
"J RENAL NUTR";"1051-2276";1301;1.871;1.834;0.278;54;"5.5";0.00278;0.454;"UROLOGY & NEPHROLOGY"
